imagen,categoria,distancia (mm),punto_referencia_x,punto_referencia_y
Cordon10_Seccion 1 horizontal C10.jpg,inicio,0.71,444,306
Cordon11_Seccion 1 horizontal C11.jpg,inicio,0.85,435,296
Cordon12_Seccion 1 horizontal C12.jpg,inicio,0.76,426,245
Cordon13_Seccion 1 horizontal C13.jpg,inicio,0.75,452,268
Cordon14_Seccion 1 horizontal C14.jpg,inicio,0.74,418,301
Cordon16_Seccion 1 horizontal C16.jpg,inicio,0.92,417,353
Cordon17_Seccion 1 horizontal C17.jpg,inicio,0.85,409,314
Cordon18_Seccion 2 horizontal C18.jpg,inicio,0.73,380,351
Cordon19_Seccion 1 horizontal C19.jpg,inicio,0.8,383,316
Cordon1_Seccion 1 horizontal C1.jpg,inicio,0.68,426,220
Cordon2_Seccion 1 horizontal C2.jpg,inicio,0.77,401,269
Cordon3_Seccion 1 horizontal C3.jpg,inicio,0.84,460,246
Cordon4_Seccion 1 horizontal C4.jpg,inicio,0.64,418,223
Cordon5_Seccion 1 horizontal C5.jpg,inicio,0.8,461,218
Cordon6_Seccion 1 horizontal C6.jpg,inicio,0.65,451,183
Cordon7_Seccion 1 horizontal C7.jpg,inicio,0.82,491,208
Cordon8_Seccion 1 horizontal C8.jpg,inicio,0.66,363,154
Cordon9_Seccion 1 horizontal C9.jpg,inicio,0.69,420,273
Cordon10_Seccion 3 horizontal C10.jpg,medio,0.7,456,269
Cordon11_Seccion 3 horizontal C11.jpg,medio,0.77,399,233
Cordon12_Seccion 3 horizontal C12.jpg,medio,0.69,470,254
Cordon13_Seccion 3 horizontal C13.jpg,medio,0.74,388,230
Cordon14_Seccion 3 horizontal C14.jpg,medio,0.74,449,241
Cordon16_Seccion 3 horizontal C16.jpg,medio,0.77,364,324
Cordon17_Seccion 2 horizontal C17.jpg,medio,0.74,418,238
Cordon18_Seccion 3 horizontal C18.jpg,medio,0.72,393,294
Cordon19_Seccion 4 horizontal C19.jpg,medio,0.73,398,257
Cordon1_Seccion 3 horizontal C1.jpg,medio,0.67,415,167
Cordon2_Seccion 3 horizontal C2.jpg,medio,0.68,437,179
Cordon3_Seccion 3 horizontal C3.jpg,medio,0.82,466,164
Cordon4_Seccion 3 horizontal C4.jpg,medio,0.66,432,192
Cordon5_Seccion 4 horizontal C5.jpg,medio,0.65,456,180
Cordon6_Seccion 4 horizontal C6.jpg,medio,0.69,503,198
Cordon7_Seccion 2 horizontal C7.jpg,medio,0.71,473,194
Cordon8_Seccion 5 horizontal C8.jpg,medio,0.66,359,149
Cordon9_Seccion 4 horizontal.jpg,medio,0.43,423,296
Cordon10_Seccion 4 horizontal C10.jpg,final,0.65,416,282
Cordon11_Seccion 4 horizontal C11.jpg,final,0.8,457,205
Cordon12_Seccion 5 horizontal C12.jpg,final,0.79,453,248
Cordon13_Seccion 4 horizontal C13.jpg,final,0.76,468,191
Cordon14_Seccion 4 horizontal C14.jpg,final,0.8,439,272
Cordon16_Seccion 5 horizontal C16.jpg,final,0.76,372,218
Cordon17_Seccion 3 horizontal C17.jpg,final,0.83,385,279
Cordon18_Seccion 4 horizontal C18.jpg,final,0.8,426,305
Cordon19_Seccion 6 horizontal C19.jpg,final,0.48,410,269
Cordon1_Seccion 5 horizontal C1.jpg,final,0.56,360,117
Cordon2_Seccion 4 horizontal C2.jpg,final,0.67,361,192
Cordon3_Seccion 4 horizontal C3.jpg,final,0.76,474,154
Cordon4_Seccion 4 horizontal C4.jpg,final,0.6,467,143
Cordon5_Seccion 7 horizontal C5.jpg,final,0.71,475,171
Cordon6_Seccion 6 horizontal C6.jpg,final,0.65,504,143
Cordon7_Seccion 3 horizontal C7.jpg,final,0.67,501,163
Cordon8_Seccion 6 horizontal C8.jpg,final,0.63,368,127
Cordon9_Seccion 6 horizontal C9.jpg,final,0.54,316,325
