imagen,vel alambre,flujo gas,peri voltaje,voltaje,corriente,ubicacion,pixeles,mm_por_pixel,punto_referencia_x,punto_referencia_y,coordenada_x_punto 15,coordenada_y_punto 15,coordenada_x_punto 1,coordenada_x_punto 2,coordenada_y_punto 2,coordenada_x_punto 3,coordenada_y_punto 3,coordenada_x_punto 4,coordenada_y_punto 4,coordenada_y_punto 1,coordenada_x_punto 5,coordenada_y_punto 5,coordenada_x_punto 6,coordenada_y_punto 6,coordenada_x_punto 7,coordenada_y_punto 7,coordenada_x_punto 8,coordenada_y_punto 8,coordenada_x_punto 9,coordenada_y_punto 9,coordenada_x_punto 10,coordenada_y_punto 10,coordenada_x_punto 11,coordenada_y_punto 11,coordenada_x_punto 12,coordenada_y_punto 12,coordenada_x_punto 13,coordenada_y_punto 13,coordenada_x_punto 14,coordenada_y_punto 14
Cordon11_Seccion 1 horizontal C11.jpg,5.0,5.0,5.0,5.0,5.0,1,196.0025510038071,65.3341836679357,442,298,710,710,213,200,266,199,198,220,161,297,245,129,283,96,334,77,399,60,454,58,505,66,569,100,615,144,645,197,654,254
Cordon12_Seccion 1 horizontal C12.jpg,4.0,4.0,4.0,4.0,4.0,1,197.00253805471644,65.66751268490547,428,244,653,653,226,207,218,202,195,203,167,244,215,134,231,105,263,73,359,28,426,22,471,31,545,58,577,83,609,129,625,182
Cordon17_Seccion 1 horizontal C17.jpg,4.0,4.0,4.0,4.0,4.0,1,176.00284088616297,58.66761362872099,401,310,617,617,172,185,281,194,215,219,169,312,261,129,334,92,407,80,477,84,547,111,593,146,626,180,636,206,638,236,637,266
Cordon8_Seccion 1 horizontal C8.jpg,2.0,2.0,2.0,2.0,2.0,1,95.00526301210895,31.66842100403632,359,155,450,450,280,288,140,294,124,301,106,155,323,86,354,73,384,76,396,78,411,90,427,105,431,116,434,127,440,135,441,144
Cordon3_Seccion 1 horizontal C3.jpg,3.0,3.0,3.0,3.0,3.0,1,128.00390619039715,42.6679687301324,460,246,638,638,308,309,240,297,221,299,192,246,318,149,372,112,439,94,488,96,523,106,569,134,593,154,600,179,604,201,610,223
Cordon19_Seccion 1 horizontal C19.jpg,5.0,5.0,5.0,5.0,5.0,1,182.0,60.66666666666666,380,317,603,603,274,232,308,200,284,167,244,316,157,201,177,158,217,113,311,66,406,45,489,42,558,99,595,143,610,200,606,271
Cordon9_Seccion 1 horizontal C9.jpg,2.0,2.0,2.0,2.0,2.0,1,171.0,57.0,431,275,604,604,253,268,254,284,229,274,198,274,277,163,300,120,344,90,405,68,458,64,498,79,527,101,574,150,587,171,590,194
Cordon6_Seccion 1 horizontal C6.jpg,2.0,2.0,2.0,2.0,2.0,1,110.00454536063498,36.66818178687833,457,184,568,568,337,360,170,376,141,391,108,181,409,87,454,71,500,83,540,109,544,125,545,139,550,148,555,162,560,172,563,181
Cordon4_Seccion 1 horizontal C4.jpg,3.0,3.0,3.0,3.0,3.0,1,121.0,40.333333333333336,424,224,531,531,312,318,200,319,185,327,162,220,343,139,368,123,417,119,449,124,469,140,488,156,499,167,504,178,513,198,521,208
Cordon10_Seccion 1 horizontal C10.jpg,5.0,5.0,5.0,5.0,5.0,1,204.0024509656685,68.00081698855618,442,308,659,659,230,226,257,223,193,240,141,310,266,101,331,57,407,18,494,30,556,47,601,79,647,138,659,172,657,225,653,283
Cordon5_Seccion 1 horizontal C5.jpg,5.0,5.0,5.0,5.0,5.0,1,119.0,39.66666666666666,463,219,587,587,340,336,202,331,177,337,142,218,367,103,412,74,465,62,508,62,543,80,564,95,582,122,598,144,597,171,594,194
Cordon18_Seccion 2 horizontal C18.jpg,4.0,4.0,4.0,4.0,4.0,1,180.0,60.0,383,353,581,581,172,179,313,204,262,230,220,358,272,183,325,158,383,153,442,155,491,173,542,203,582,241,591,268,598,297,591,325
Cordon1_Seccion 1 horizontal C1.jpg,3.0,3.0,3.0,3.0,3.0,1,121.00413216084812,40.33471072028271,425,221,539,539,342,327,210,314,178,311,145,221,329,113,355,88,395,73,458,75,505,97,529,125,539,149,538,174,536,189,535,198
Cordon13_Seccion 1 horizontal C13.jpg,4.0,4.0,4.0,4.0,4.0,1,183.0109286354233,61.00364287847444,435,269,650,650,271,265,242,246,218,244,184,259,259,144,316,102,362,74,417,61,487,56,538,69,574,89,614,111,641,145,656,191
Cordon16_Seccion 1 horizontal C16.jpg,4.0,4.0,4.0,4.0,4.0,1,175.0,58.333333333333336,415,351,685,685,181,174,329,166,283,168,232,355,214,160,275,114,363,89,450,86,530,103,571,148,592,184,613,219,636,264,654,313
Cordon7_Seccion 1 horizontal C7.jpg,3.0,3.0,3.0,3.0,3.0,1,114.00438588054408,38.001461960181366,503,208,634,634,354,376,199,387,171,406,148,210,438,119,478,103,521,103,549,112,582,125,600,143,612,153,619,169,626,179,629,189
Cordon2_Seccion 1 horizontal C2.jpg,3.0,3.0,3.0,3.0,3.0,1,118.00423721205946,39.33474573735315,396,270,522,522,285,289,237,275,225,274,198,268,286,163,319,137,378,113,428,115,464,128,493,148,515,175,523,193,523,227,518,251
Cordon14_Seccion 1 horizontal C14.jpg,4.0,4.0,4.0,4.0,4.0,1,178.01123560045303,59.337078533484345,412,300,625,625,223,213,270,213,231,229,180,299,279,134,342,108,414,93,471,102,521,125,555,154,581,183,598,216,605,254,614,274
