imagen,coordenada_x_punto 1,coordenada_y_punto 1,coordenada_x_punto 2,coordenada_y_punto 2,coordenada_x_punto 3,coordenada_y_punto 3,coordenada_x_punto 4,coordenada_y_punto 4,coordenada_x_punto 5,coordenada_y_punto 5,coordenada_x_punto 6,coordenada_y_punto 6,coordenada_x_punto 7,coordenada_y_punto 7,coordenada_x_punto 8,coordenada_y_punto 8,coordenada_x_punto 9,coordenada_y_punto 9
Cordon8_Seccion 6 horizontal C8.jpg,267.0,126.0,286.0,115.0,326.0,85.0,353.0,75.0,394.0,75.0,414.0,83.0,430.0,102.0,445.0,116.0,,
Cordon2_Seccion 4 horizontal C2.jpg,254.0,164.0,275.0,142.0,279.0,145.0,299.0,135.0,307.0,131.0,312.0,176.0,,,,,,
Cordon11_Seccion 4 horizontal C11.jpg,230.0,193.0,290.0,129.0,358.0,109.0,426.0,98.0,501.0,92.0,541.0,101.0,613.0,129.0,627.0,151.0,660.0,174.0
Cordon12_Seccion 5 horizontal C12.jpg,,,,,,,,,,,,,,,,,,
Cordon6_Seccion 6 horizontal C6.jpg,,,,,,,,,,,,,,,,,,
Cordon7_Seccion 3 horizontal C7.jpg,,,,,,,,,,,,,,,,,,
Cordon10_Seccion 4 horizontal C10.jpg,,,,,,,,,,,,,,,,,,
Cordon18_Seccion 4 horizontal C18.jpg,,,,,,,,,,,,,,,,,,
Cordon16_Seccion 5 horizontal C16.jpg,,,,,,,,,,,,,,,,,,
Cordon4_Seccion 4 horizontal C4.jpg,,,,,,,,,,,,,,,,,,
Cordon5_Seccion 7 horizontal C5.jpg,,,,,,,,,,,,,,,,,,
Cordon9_Seccion 6 horizontal C9.jpg,,,,,,,,,,,,,,,,,,
Cordon1_Seccion 5 horizontal C1.jpg,,,,,,,,,,,,,,,,,,
Cordon14_Seccion 4 horizontal C14.jpg,,,,,,,,,,,,,,,,,,
Cordon19_Seccion 6 horizontal C19.jpg,,,,,,,,,,,,,,,,,,
Cordon17_Seccion 3 horizontal C17.jpg,,,,,,,,,,,,,,,,,,
Cordon3_Seccion 4 horizontal C3.jpg,,,,,,,,,,,,,,,,,,
Cordon13_Seccion 4 horizontal C13.jpg,,,,,,,,,,,,,,,,,,
