imagen,vel alambre,flujo gas,peri voltaje,voltaje,corriente,ubicacion
Cordon11_Seccion 1 horizontal C11.jpg,5.0,5.0,5.0,5.0,5.0,1
Cordon12_Seccion 1 horizontal C12.jpg,4.0,4.0,4.0,4.0,4.0,1
Cordon17_Seccion 1 horizontal C17.jpg,4.0,4.0,4.0,4.0,4.0,1
Cordon8_Seccion 1 horizontal C8.jpg,2.0,2.0,2.0,2.0,2.0,1
Cordon3_Seccion 1 horizontal C3.jpg,3.0,3.0,3.0,3.0,3.0,1
Cordon19_Seccion 1 horizontal C19.jpg,5.0,5.0,5.0,5.0,5.0,1
Cordon9_Seccion 1 horizontal C9.jpg,2.0,2.0,2.0,2.0,2.0,1
Cordon6_Seccion 1 horizontal C6.jpg,2.0,2.0,2.0,2.0,2.0,1
Cordon4_Seccion 1 horizontal C4.jpg,3.0,3.0,3.0,3.0,3.0,1
Cordon10_Seccion 1 horizontal C10.jpg,5.0,5.0,5.0,5.0,5.0,1
Cordon5_Seccion 1 horizontal C5.jpg,5.0,5.0,5.0,5.0,5.0,1
Cordon18_Seccion 2 horizontal C18.jpg,4.0,4.0,4.0,4.0,4.0,1
Cordon1_Seccion 1 horizontal C1.jpg,3.0,3.0,3.0,3.0,3.0,1
Cordon13_Seccion 1 horizontal C13.jpg,4.0,4.0,4.0,4.0,4.0,1
Cordon16_Seccion 1 horizontal C16.jpg,4.0,4.0,4.0,4.0,4.0,1
Cordon7_Seccion 1 horizontal C7.jpg,3.0,3.0,3.0,3.0,3.0,1
Cordon2_Seccion 1 horizontal C2.jpg,3.0,3.0,3.0,3.0,3.0,1
Cordon14_Seccion 1 horizontal C14.jpg,4.0,4.0,4.0,4.0,4.0,1
Cordon1_Seccion 3 horizontal C1.jpg,3.0,3.0,3.0,3.0,3.0,2
Cordon6_Seccion 4 horizontal C6.jpg,2.0,2.0,2.0,2.0,2.0,2
Cordon18_Seccion 3 horizontal C18.jpg,4.0,4.0,4.0,4.0,4.0,2
Cordon13_Seccion 3 horizontal C13.jpg,4.0,4.0,4.0,4.0,4.0,2
Cordon19_Seccion 4 horizontal C19.jpg,5.0,5.0,5.0,5.0,5.0,2
Cordon11_Seccion 3 horizontal C11.jpg,5.0,5.0,5.0,5.0,5.0,2
Cordon10_Seccion 3 horizontal C10.jpg,5.0,5.0,5.0,5.0,5.0,2
Cordon7_Seccion 2 horizontal C7.jpg,3.0,3.0,3.0,3.0,3.0,2
Cordon16_Seccion 3 horizontal C16.jpg,4.0,4.0,4.0,4.0,4.0,2
Cordon4_Seccion 3 horizontal C4.jpg,3.0,3.0,3.0,3.0,3.0,2
Cordon12_Seccion 3 horizontal C12.jpg,4.0,4.0,4.0,4.0,4.0,2
Cordon3_Seccion 3 horizontal C3.jpg,3.0,3.0,3.0,3.0,3.0,2
Cordon17_Seccion 2 horizontal C17.jpg,4.0,4.0,4.0,4.0,4.0,2
Cordon5_Seccion 4 horizontal C5.jpg,5.0,5.0,5.0,5.0,5.0,2
Cordon14_Seccion 3 horizontal C14.jpg,4.0,4.0,4.0,4.0,4.0,2
Cordon2_Seccion 3 horizontal C2.jpg,3.0,3.0,3.0,3.0,3.0,2
Cordon9_Seccion 4 horizontal.jpg,2.0,2.0,2.0,2.0,2.0,2
Cordon8_Seccion 5 horizontal C8.jpg,2.0,2.0,2.0,2.0,2.0,2
Cordon8_Seccion 6 horizontal C8.jpg,2.0,2.0,2.0,2.0,2.0,3
Cordon2_Seccion 4 horizontal C2.jpg,3.0,3.0,3.0,3.0,3.0,3
Cordon11_Seccion 4 horizontal C11.jpg,5.0,5.0,5.0,5.0,5.0,3
Cordon12_Seccion 5 horizontal C12.jpg,4.0,4.0,4.0,4.0,4.0,3
Cordon6_Seccion 6 horizontal C6.jpg,2.0,2.0,2.0,2.0,2.0,3
Cordon7_Seccion 3 horizontal C7.jpg,3.0,3.0,3.0,3.0,3.0,3
Cordon10_Seccion 4 horizontal C10.jpg,5.0,5.0,5.0,5.0,5.0,3
Cordon18_Seccion 4 horizontal C18.jpg,4.0,4.0,4.0,4.0,4.0,3
Cordon16_Seccion 5 horizontal C16.jpg,4.0,4.0,4.0,4.0,4.0,3
Cordon4_Seccion 4 horizontal C4.jpg,3.0,3.0,3.0,3.0,3.0,3
Cordon5_Seccion 7 horizontal C5.jpg,5.0,5.0,5.0,5.0,5.0,3
Cordon9_Seccion 6 horizontal C9.jpg,2.0,2.0,2.0,2.0,2.0,3
Cordon1_Seccion 5 horizontal C1.jpg,3.0,3.0,3.0,3.0,3.0,3
Cordon14_Seccion 4 horizontal C14.jpg,4.0,4.0,4.0,4.0,4.0,3
Cordon19_Seccion 6 horizontal C19.jpg,5.0,5.0,5.0,5.0,5.0,3
Cordon17_Seccion 3 horizontal C17.jpg,4.0,4.0,4.0,4.0,4.0,3
Cordon3_Seccion 4 horizontal C3.jpg,3.0,3.0,3.0,3.0,3.0,3
Cordon13_Seccion 4 horizontal C13.jpg,4.0,4.0,4.0,4.0,4.0,3
