imagen,pixeles,mm_por_pixel
Cordon6_Seccion 1 horizontal C6.jpg,110.00454536063498,36.66818178687833
Cordon3_Seccion 1 horizontal C3.jpg,128.00390619039717,42.667968730132394
Cordon10_Seccion 1 horizontal C10.jpg,204.00245096566854,68.00081698855618
Cordon7_Seccion 1 horizontal C7.jpg,114.00438588054409,38.001461960181366
Cordon13_Seccion 1 horizontal C13.jpg,183.0109286354233,61.00364287847444
Cordon11_Seccion 1 horizontal C11.jpg,196.0025510038071,65.3341836679357
Cordon14_Seccion 1 horizontal C14.jpg,178.01123560045303,59.337078533484345
Cordon8_Seccion 1 horizontal C8.jpg,95.00526301210897,31.668421004036322
Cordon2_Seccion 1 horizontal C2.jpg,118.00423721205946,39.33474573735315
Cordon5_Seccion 1 horizontal C5.jpg,119.0,39.666666666666664
Cordon1_Seccion 1 horizontal C1.jpg,121.00413216084813,40.33471072028271
Cordon18_Seccion 2 horizontal C18.jpg,180.0,60.0
Cordon4_Seccion 1 horizontal C4.jpg,121.0,40.333333333333336
Cordon19_Seccion 1 horizontal C19.jpg,182.0,60.666666666666664
Cordon12_Seccion 1 horizontal C12.jpg,197.00253805471644,65.66751268490547
Cordon17_Seccion 1 horizontal C17.jpg,176.00284088616297,58.66761362872099
Cordon9_Seccion 1 horizontal C9.jpg,171.0,57.0
Cordon16_Seccion 1 horizontal C16.jpg,175.0,58.333333333333336
Cordon13_Seccion 4 horizontal C13.jpg,176.00284088616297,58.66761362872099
Cordon7_Seccion 3 horizontal C7.jpg,128.03515142334936,42.67838380778312
Cordon11_Seccion 4 horizontal C11.jpg,189.01058171435798,63.003527238119325
Cordon14_Seccion 4 horizontal C14.jpg,201.0,67.0
Cordon10_Seccion 4 horizontal C10.jpg,256.0019531175495,85.3339843725165
Cordon17_Seccion 3 horizontal C17.jpg,181.02486017119307,60.341620057064354
Cordon6_Seccion 6 horizontal C6.jpg,118.0,39.333333333333336
Cordon2_Seccion 4 horizontal C2.jpg,119.01680553602503,39.672268512008344
Cordon12_Seccion 5 horizontal C12.jpg,174.0,58.0
Cordon4_Seccion 4 horizontal C4.jpg,115.00434774390054,38.33478258130018
Cordon1_Seccion 5 horizontal C1.jpg,126.00396819148197,42.00132273049399
Cordon8_Seccion 6 horizontal C8.jpg,97.0051545022222,32.33505150074073
Cordon3_Seccion 4 horizontal C3.jpg,123.0,41.0
Cordon5_Seccion 7 horizontal C5.jpg,120.00416659433121,40.00138886477707
Cordon16_Seccion 5 horizontal C16.jpg,181.01104938649465,60.33701646216488
Cordon18_Seccion 4 horizontal C18.jpg,179.0111728356641,59.670390945221364
Cordon9_Seccion 6 horizontal C9.jpg,221.02036105300343,73.67345368433448
Cordon19_Seccion 6 horizontal C19.jpg,219.0091322296858,73.00304407656193
Cordon8_Seccion 5 horizontal C8.jpg,99.02019995940222,33.00673331980074
Cordon9_Seccion 4 horizontal.jpg,231.00216449202375,77.00072149734125
Cordon1_Seccion 3 horizontal C1.jpg,114.0,38.0
Cordon12_Seccion 3 horizontal C12.jpg,179.0111728356641,59.670390945221364
Cordon14_Seccion 3 horizontal C14.jpg,183.04371062672436,61.01457020890812
Cordon2_Seccion 3 horizontal C2.jpg,118.01694793545543,39.33898264515181
Cordon10_Seccion 3 horizontal C10.jpg,224.0022321317357,74.66741071057857
Cordon7_Seccion 2 horizontal C7.jpg,127.0,42.333333333333336
Cordon19_Seccion 4 horizontal C19.jpg,184.0108692441835,61.33695641472784
Cordon11_Seccion 3 horizontal C11.jpg,185.00270268296083,61.667567560986946
Cordon6_Seccion 4 horizontal C6.jpg,122.00409829181969,40.6680327639399
Cordon3_Seccion 3 horizontal C3.jpg,122.0,40.666666666666664
Cordon18_Seccion 3 horizontal C18.jpg,181.00276240985937,60.33425413661979
Cordon5_Seccion 4 horizontal C5.jpg,123.00406497347964,41.00135499115988
Cordon17_Seccion 2 horizontal C17.jpg,182.0109886792553,60.670329559751764
Cordon4_Seccion 3 horizontal C4.jpg,113.0,37.666666666666664
Cordon13_Seccion 3 horizontal C13.jpg,176.0,58.666666666666664
Cordon16_Seccion 3 horizontal C16.jpg,179.00279327429502,59.66759775809834
