imagen,distancia,vel alambre,flujo gas,peri voltaje,voltaje,corriente,ubicacion,coordenada_x_punto 15,coordenada_y_punto 15,coordenada_x_punto 1,coordenada_x_punto 2,coordenada_y_punto 2,coordenada_x_punto 3,coordenada_y_punto 3,coordenada_x_punto 4,coordenada_y_punto 4,coordenada_y_punto 1,coordenada_x_punto 5,coordenada_y_punto 5,coordenada_x_punto 6,coordenada_y_punto 6,coordenada_x_punto 7,coordenada_y_punto 7,coordenada_x_punto 8,coordenada_y_punto 8,coordenada_x_punto 9,coordenada_y_punto 9,coordenada_x_punto 10,coordenada_y_punto 10,coordenada_x_punto 11,coordenada_y_punto 11,coordenada_x_punto 12,coordenada_y_punto 12,coordenada_x_punto 13,coordenada_y_punto 13,coordenada_x_punto 14,coordenada_y_punto 14
Cordon11_Seccion 1 horizontal C11.jpg,189.003,5.0,5.0,5.0,5.0,5.0,1,710,710,213,200,266,199,198,220,161,297,245,129,283,96,334,77,399,60,454,58,505,66,569,100,615,144,645,197,654,254
Cordon12_Seccion 1 horizontal C12.jpg,187.011,4.0,4.0,4.0,4.0,4.0,1,653,653,226,207,218,202,195,203,167,244,215,134,231,105,263,73,359,28,426,22,471,31,545,58,577,83,609,129,625,182
Cordon17_Seccion 1 horizontal C17.jpg,172.003,4.0,4.0,4.0,4.0,4.0,1,617,617,172,185,281,194,215,219,169,312,261,129,334,92,407,80,477,84,547,111,593,146,626,180,636,206,638,236,637,266
Cordon8_Seccion 1 horizontal C8.jpg,92.0,2.0,2.0,2.0,2.0,2.0,1,450,450,280,288,140,294,124,301,106,155,323,86,354,73,384,76,396,78,411,90,427,105,431,116,434,127,440,135,441,144
Cordon3_Seccion 1 horizontal C3.jpg,123.004,3.0,3.0,3.0,3.0,3.0,1,638,638,308,309,240,297,221,299,192,246,318,149,372,112,439,94,488,96,523,106,569,134,593,154,600,179,604,201,610,223
Cordon19_Seccion 1 horizontal C19.jpg,178.003,5.0,5.0,5.0,5.0,5.0,1,603,603,274,232,308,200,284,167,244,316,157,201,177,158,217,113,311,66,406,45,489,42,558,99,595,143,610,200,606,271
Cordon9_Seccion 1 horizontal C9.jpg,166.003,2.0,2.0,2.0,2.0,2.0,1,604,604,253,268,254,284,229,274,198,274,277,163,300,120,344,90,405,68,458,64,498,79,527,101,574,150,587,171,590,194
Cordon6_Seccion 1 horizontal C6.jpg,107.0,2.0,2.0,2.0,2.0,2.0,1,568,568,337,360,170,376,141,391,108,181,409,87,454,71,500,83,540,109,544,125,545,139,550,148,555,162,560,172,563,181
Cordon4_Seccion 1 horizontal C4.jpg,116.0,3.0,3.0,3.0,3.0,3.0,1,531,531,312,318,200,319,185,327,162,220,343,139,368,123,417,119,449,124,469,140,488,156,499,167,504,178,513,198,521,208
Cordon10_Seccion 1 horizontal C10.jpg,198.003,5.0,5.0,5.0,5.0,5.0,1,659,659,230,226,257,223,193,240,141,310,266,101,331,57,407,18,494,30,556,47,601,79,647,138,659,172,657,225,653,283
