imagen,punto 1,punto 2,punto 3,punto 4,punto 5,punto 6,punto 7,punto 8,punto 9,punto 10,punto 11,punto 12,punto 13,punto 14,punto 15,distancia,vel alambre,flujo gas,peri voltaje,voltaje,corriente,ubicacion
Cordon11_Seccion 1 horizontal C11.jpg,"213,297","200,266","199,198","220,161","245,129","283,96","334,77","399,60","454,58","505,66","569,100","615,144","645,197","654,254","710,296",189.0026454841307,5.0,5.0,5.0,5.0,5.0,1
Cordon12_Seccion 1 horizontal C12.jpg,"226,244","207,218","202,195","203,167","215,134","231,105","263,73","359,28","426,22","471,31","545,58","577,83","609,129","625,182","653,244",187.0106948813356,4.0,4.0,4.0,4.0,4.0,1
Cordon17_Seccion 1 horizontal C17.jpg,"172,312","185,281","194,215","219,169","261,129","334,92","407,80","477,84","547,111","593,146","626,180","636,206","638,236","637,266","617,309",172.00290695217916,4.0,4.0,4.0,4.0,4.0,1
Cordon8_Seccion 1 horizontal C8.jpg,"280,155","288,140","294,124","301,106","323,86","354,73","384,76","396,78","411,90","427,105","431,116","434,127","440,135","441,144","450,156",92.0,2.0,2.0,2.0,2.0,2.0,1
Cordon3_Seccion 1 horizontal C3.jpg,"308,246","309,240","297,221","299,192","318,149","372,112","439,94","488,96","523,106","569,134","593,154","600,179","604,201","610,223","638,247",123.00406497347964,3.0,3.0,3.0,3.0,3.0,1
Cordon19_Seccion 1 horizontal C19.jpg,"274,316","232,308","200,284","167,244","157,201","177,158","217,113","311,66","406,45","489,42","558,99","595,143","610,200","606,271","603,315",178.0028089666003,5.0,5.0,5.0,5.0,5.0,1
Cordon9_Seccion 1 horizontal C9.jpg,"253,274","268,254","284,229","274,198","277,163","300,120","344,90","405,68","458,64","498,79","527,101","574,150","587,171","590,194","604,271",166.00301202086666,2.0,2.0,2.0,2.0,2.0,1
Cordon6_Seccion 1 horizontal C6.jpg,"337,181","360,170","376,141","391,108","409,87","454,71","500,83","540,109","544,125","545,139","550,148","555,162","560,172","563,181","568,186",107.0,2.0,2.0,2.0,2.0,2.0,1
Cordon4_Seccion 1 horizontal C4.jpg,"312,220","318,200","319,185","327,162","343,139","368,123","417,119","449,124","469,140","488,156","499,167","504,178","513,198","521,208","531,221",116.0,3.0,3.0,3.0,3.0,3.0,1
Cordon10_Seccion 1 horizontal C10.jpg,"230,310","226,257","223,193","240,141","266,101","331,57","407,18","494,30","556,47","601,79","647,138","659,172","657,225","653,283","659,302",198.00252523642217,5.0,5.0,5.0,5.0,5.0,1
Cordon5_Seccion 1 horizontal C5.jpg,"340,218","336,202","331,177","337,142","367,103","412,74","465,62","508,62","543,80","564,95","582,122","598,144","597,171","594,194","587,211",116.0,5.0,5.0,5.0,5.0,5.0,1
Cordon18_Seccion 2 horizontal C18.jpg,"172,358","179,313","204,262","230,220","272,183","325,158","383,153","442,155","491,173","542,203","582,241","591,268","598,297","591,325","581,350",175.0114281982751,4.0,4.0,4.0,4.0,4.0,1
Cordon1_Seccion 1 horizontal C1.jpg,"342,221","327,210","314,178","311,145","329,113","355,88","395,73","458,75","505,97","529,125","539,149","538,174","536,189","535,198","539,219",118.01694793545543,3.0,3.0,3.0,3.0,3.0,1
Cordon13_Seccion 1 horizontal C13.jpg,"271,259","265,242","246,218","244,184","259,144","316,102","362,74","417,61","487,56","538,69","574,89","614,111","641,145","656,191","650,262",177.00282483621552,4.0,4.0,4.0,4.0,4.0,1
Cordon16_Seccion 1 horizontal C16.jpg,"181,355","174,329","166,283","168,232","214,160","275,114","363,89","450,86","530,103","571,148","592,184","613,219","636,264","654,313","685,359",171.00292395160966,4.0,4.0,4.0,4.0,4.0,1
